text,label
"['hello', 'recently', 'started', 'questioning', 'osdd', 'joined', 'site', 'hoping', 'support', 'advice', 'related', 'experience', 'continue', 'like', 'say', 'cannot', 'access', 'therapy', 'moment', 'hope', 'go', 'future', 'extremely', 'memory', 'childhood', 'memory', 'feel', 'like', 'belong', 'someone', 'else', 'like', 'watching', 'someone', 'else', 'live', 'life', 'vr', 'know', 'gone', 'trauma', 'remember', 'much', '2nd', 'grade', 'second', 'grade', 'remember', 'waking', 'like', 'coming', 'class', 'confused', 'thought', 'remember', 'anything', 'pretend', 'p', 'odd', 'like', 'older', 'person', '2nd', 'grader', 'body', 'ultimately', 'soon', 'thought', 'came', 'told', 'think', 'right', 'need', 'focus', 'incident', 'became', 'fuzzy', 'memory', 'got', 'older', 'entered', 'pre', 'teen', 'started', 'gap', 'memory', 'always', 'happened', 'night', 'thought', 'happened', 'tired', 'also', 'started', 'disassociate', 'heavily', '98', 'time', 'disassociating', 'daydreaming', 'even', 'large', 'struggle', 'though', 'gotten', 'better', 'identifying', 'trigger', 'spent', 'last', '15', '16', 'year', 'life', 'looking', 'people', 'eye', 'idea', 'always', 'felt', 'like', 'trapped', 'body', 'everytike', 'look', 'mirror', 'never', 'someone', 'recognize', 'constantly', 'change', 'talk', 'often', 'head', 'recently', 'realized', 'seems', 'like', 'talking', 'people', 'also', 'talk', 'outloud', 'conflicting', 'opinion', 'emotion', 'aspect', 'identity', 'never', 'questioned', 'thought', 'many', 'personality', 'within', 'normal', 'everyone', 'experience', 'however', 'stumbling', 'osdd', 'half', 'year', 'ago', 'realizing', 'symptom', 'common', 'e', 'personality', 'similar', 'change', 'different', 'setting', 'anyways', 'prompted', 'seriously', 'consider', 'possibility', 'osdd', 'recent', 'disassociative', 'episode', 'remember', 'acknowledging', 'different', 'person', 'idk', 'faking', 'something', 'consider', 'try', 'figure', 'therapist', 'future', 'summary', 'remember', 'childhood', 'memory', 'gap', 'remember', 'thing', 'disassociate', 'lot', 'feel', 'like', 'belong', 'body', 'heard', 'people', 'talking', 'head', 'recently', 'believe', 'another', 'person', 'fronted', 'cannot', 'access', 'therapy', 'professional', 'opinion', 'moment', 'would', 'like', 'support', 'advice', 'going', 'thing', 'think', 'may', 'ossd']",5
"['hi', 'lovely', 'reading', '3', 'hope', 'dearly', 'find', 'comfy', 'cosy', 'taking', 'good', 'care', '3', 'please', 'feel', 'pressure', 'need', 'reply', 'read', 'think', 'simply', 'need', 'vent', 'bit', 'feel', 'moment', 'thankful', 'space', 'existing', 'thank', 'much', 'lovely', 'x', 'sends', 'cosy', 'soothing', 'stream', 'warmth', 'sparkling', 'star', '3', 'feel', 'though', 'mind', 'fully', 'gone', 'perished', 'still', 'much', 'physically', 'alive', 'safe', 'light', 'lucidity', 'left', 'well', 'personhood', 'feel', 'though', 'made', 'gone', 'terrifies', 'think', 'could', 'handle', 'change', 'affected', 'loved', 'one', 'seeing', 'greatly', 'inhibits', 'bit', 'use', 'good', 'love', 'adore', 'haunt', 'much', 'bear', 'episode', 'sitting', 'hour', 'paralysis', 'coming', 'discover', 'become', 'lost', 'vulnerable', 'much', 'time', 'liken', 'little', 'zombie', 'inability', 'think', 'act', 'communicate', 'function', 'capacity', 'person', 'feel', 'horrified', 'lack', 'dignity', 'one', 'sentient', 'could', 'possibly', 'feel', 'immensely', 'much', 'lost', 'let', 'everyone', 'life', 'make', 'heart', 'weep', 'used', 'vibrant', 'beautiful', 'kind', 'caring', 'looking', 'back', 'realise', 'precious', 'could', 'come', 'across', 'gorgeous', 'deary', 'loved', 'priorly', 'whole', 'self', 'whole', 'heartedly', 'love', 'tandem', 'however', 'day', 'heartbreakingly', 'gone', 'nothing', 'mindless', 'demonic', 'ghost', 'continue', 'allow', 'deteriorate', 'loved', 'one', 'eye', 'grief', 'much', 'deep', 'heart', 'know', 'would', 'best', 'let', 'go', 'nobody', 'need', 'saddled', 'anymore', 'wish', 'much', 'could', 'huggy', 'ghost', 'give', 'everyone', 'big', 'big', 'hug', 'would', 'weep', 'hug', 'every', 'last', 'bit', 'strength', 'happily', 'even', 'better', 'send', 'heart', 'every', 'dearie', 'precious', 'every', 'last', 'bit', 'warmth', 'strength', '3', 'idea', 'also', 'held', 'idea', 'focusing', 'warmth', 'strength', 'outward', 'sustained', 'kept', 'going', 'month', '3', 'yet', 'longer', 'even', 'signaled', 'time', 'may', 'best', 'mind', 'flown', 'away', 'last', 'act', 'kindness', 'love', 'would', 'fly', 'away', 'weeps', 'whole', 'heart', 'thank', 'much', 'reading', 'everything', '3', 'please', 'know', 'need', 'wish', 'thought', 'feeling', 'immensely', 'important', 'worth', 'every', 'safeguard', 'care', '3', 'deserve', 'absolute', 'best', 'loveliest', 'sunset', 'sky', 'dearly', 'wish', 'warm', 'sweet', 'day', 'ahead', 'filled', 'dear', 'relieving', '3', 'sends', 'stream', 'stream', 'soothing', 'supportive', 'nourishing', 'nurturing', 'sparkling', 'star', 'embrace', 'cuddle', 'cutie', 'heart', 'everything', 'one', 'cosy', 'delight', '3']",5
"['hi', 'new', 'multiple', 'dissociative', 'episode', 'life', 'mostly', 'confronted', 'specific', 'trigger', 'conflict', 'perceived', 'threat', 'mostly', 'zone', 'quit', 'talking', 'walk', 'away', 'like', 'literally', 'leave', 'work', 'middle', 'day', 'make', 'sketchy', 'excuse', 'afterwards', 'freeze', 'therapy', 'couple', 'thing', 'honestly', 'tip', 'help', 'dissociative', 'symptom', 'anyways', 'story', 'wondering', 'actual', 'difference', 'dissociation', 'depersonalisation', 'derealization', 'maybe', 'would', 'help', 'make', 'sense', 'symptom', 'thanks', 'advance']",5
"['sort', 'opposite', 'feeling', 'real', 'felt', 'majority', 'life', 'like', 'pretend', 'sometimes', 'real', 'thing', 'world', 'everybody', 'around', 'move', 'according', 'design', 'brings', 'comfort', 'sense', 'control', 'feel', 'like', 'time', 'starting', 'repeat', 'phrase', 'nothing', 'possible', 'erase', 'anything', 'reality', 'give', 'anxiety', 'nothing', 'possible', 'nothing', 'real']",5
"['little', 'experience', 'strange', 'state', 'mind', 'mood', 'called', 'dissociation', 'name', 'hard', 'thing', 'describe', 'mind', 'sort', 'wanders', 'place', 'make', 'current', 'experience', 'strange', 'may', 'done', 'lot', 'time', 'recall', 'much', 'except', 'occasion', 'sometimes', 'normal', 'sense', 'real', 'get', 'little', 'distorted', 'like', 'thing', 'appear', 'slightly', 'smaller', 'really', 'distant', 'mild', 'disturbing', 'stronger', 'sens', 'dissociation', 'unsettling', 'experienced', 'surreal', 'feeling', 'time', 'something', 'bad', 'quite', 'unusual', 'happened', 'would', 'describe', 'experience', 'sort', 'thing', 'frequent', 'occasional', 'last', 'long', 'quickly', 'pas', 'try', 'get', 'back', 'reality', 'occurs', 'go', 'strange', 'state', 'mind']",5
"['trigger', 'warning', 'bc', 'also', 'talk', 'eating', 'disorder', 'feel', 'like', 'totally', 'body', 'feel', 'like', 'slightly', 'body', 'way', 'feel', 'like', 'child', 'coloring', 'book', 'page', 'outline', 'thats', 'child', 'came', 'colored', 'gave', 'life', 'soul', 'colored', 'line', 'thats', 'feel', 'like', 'im', 'venn', 'diagram', 'one', 'circle', 'body', 'overlapping', 'circle', 'feel', 'sometimes', 'look', 'around', 'apartment', 'doesnt', 'quite', 'feel', 'real', 'aswell', 'like', 'made', 'mind', 'head', 'know', 'isnt', 'feel', 'sometimes', 'happens', 'im', 'lot', 'stress', 'like', 'week', 'ive', 'eating', 'badly', 'tonight', 'binged', 'stress', 'binging', 'breaking', 'streak', 'binging', 'im', 'upset', 'wasnt', 'sure', 'whether', 'post', 'eating', 'disorder']",5
"['anyone', 'else', 'one', 'alter', 'disability', 'alter', 'severe', 'degree', 'others', 'front', 'body', 'memory', 'loss', 'switching', 'alter', 'others', 'others', 'within', 'system', 'realise', 'one', 'exists', 'disabled', 'alter', 'know', 'others', 'thing', 'curious', 'common', 'reading', 'genuine', 'case', 'paper', 'blind', 'woman', 'recovered', 'sight', '8', '10', 'alters', 'another', 'deaf', 'mute', 'alter', 'triggered', 'fear', 'undergo', 'operation']",5
"['universe', 'feel', 'fundamentally', 'flawed', 'explain', 'even', 'think', 'know', 'talking', 'spiritual', 'guess', 'get', 'entire', 'universe', 'never', 'even', 'left', 'earth', 'freak', 'sake', 'maybe', 'spirit', 'pick', 'thing', 'body', 'confused', 'confused', 'confused']",5
"['ive', 'noticed', 'sometimes', 'feel', 'like', 'im', 'observing', 'im', 'thing', 'manually', 'zone', 'thing', 'lose', 'focus', 'easily', 'also', 'mean', 'memory', 'quite', 'poor', 'cant', 'drive', 'cant', 'focus', 'either', 'cant', 'live', 'without', 'task', 'list', 'planning', 'otherwise', 'id', 'unorganised', 'mess', 'cure', 'tiredness']",5
"['struggling', 'feeling', 'like', 'today', 'zoning', 'lot', 'especially', 'driving', 'able', 'speak', 'able', 'remember', 'part', 'day', 'confusion', 'feeling', 'real', 'immediately', 'think', 'anxiety', 'feel', 'different', 'normal', 'anxiety', 'symptom', 'always', 'felt', 'like', 'something', 'going', 'never', 'could', 'understand', 'going', 'explain', 'talk', 'others', 'husband', 'think', 'need', 'see', 'mental', 'health', 'professional', 'keep', 'putting', 'terrified', 'help', 'understand']",5
